,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_popularity,explicit,album_popularity,artist_popularity,uri,r&b,pop,rap,hip hop,funk,rock,duration_min,rf_pred_class,rf_pred_disliked,rf_pred_liked
738,0.8140000000000001,0.435,7.0,-8.422,1.0,0.0684,0.8140000000000001,1.62e-06,0.105,0.41600000000000004,98.04899999999999,4.0,2.0,0,1,67,spotify:track:2MOsa4NltIx6KhJPaDhWAl,1,0,0,1,1,0,3.1208833333333335,1,0.32,0.68
739,0.39899999999999997,0.618,6.0,-6.224,0.0,0.11,0.825,2.17e-06,0.174,0.406,168.685,4.0,55.0,0,53,49,spotify:track:5CPwfSTHqEIOOWLkRMx2O7,1,0,0,0,0,0,3.457333333333333,0,0.63,0.37
740,0.723,0.757,2.0,-6.455,0.0,0.0589,0.348,1.32e-05,0.0949,0.7040000000000001,89.969,4.0,2.0,1,1,71,spotify:track:68ivEISjQ6pxNdeXULwdll,1,0,0,0,0,0,3.8578,1,0.28,0.72
741,0.763,0.537,0.0,-6.541,1.0,0.124,0.504,0.11699999999999999,0.11199999999999999,0.5539999999999999,131.941,4.0,45.0,0,40,53.5,spotify:track:0RSsftvPpCUOhF7GLgGzZq,0,1,0,0,0,1,2.832,0,0.75,0.25
742,0.616,0.6559999999999999,5.0,-7.297999999999999,1.0,0.0344,0.096,0.0008789999999999999,0.205,0.28600000000000003,150.071,4.0,0.0,1,1,62.5,spotify:track:3n69hLUdIsSa1WlRmjMZlW,0,1,1,1,0,0,3.784666666666667,0,0.63,0.37
743,0.7829999999999999,0.361,4.0,-8.524,0.0,0.0831,0.0705,0.0976,0.429,0.297,148.475,4.0,72.0,0,71,76,spotify:track:2fCdRQLYdF8lfEtvSMr9my,0,0,0,0,0,1,3.29005,1,0.32,0.68
744,0.725,0.418,9.0,-8.799,1.0,0.0309,0.34600000000000003,1.01e-06,0.0658,0.37799999999999995,77.923,4.0,42.0,0,47,60,spotify:track:3rIKurK8njiyQvZQsSU6bl,1,0,0,1,0,0,4.889116666666666,0,0.55,0.45
745,0.653,0.818,11.0,-6.375,1.0,0.0638,0.376,1.64e-06,0.0754,0.7979999999999999,91.896,4.0,60.0,1,73,66,spotify:track:1XcUn5PE9d42zWamWgRG2x,1,1,1,0,0,0,3.7826666666666666,0,0.61,0.39
746,0.75,0.502,10.0,-7.184,1.0,0.31,0.23800000000000002,0.0,0.106,0.301,82.54,4.0,57.0,0,53,51,spotify:track:5u431x19PX588bk9XGlwN8,0,0,0,0,0,0,3.912166666666667,0,0.59,0.41
747,0.8690000000000001,0.67,11.0,-5.505,0.0,0.215,0.0912,0.0,0.0955,0.49,162.999,4.0,1.0,1,0,78.5,spotify:track:0QBRshHeQLEThdj2TqxM9n,0,1,1,1,0,0,4.516533333333333,1,0.43,0.57
748,0.665,0.563,8.0,-6.042000000000001,1.0,0.0441,0.159,0.000218,0.305,0.353,78.00399999999999,4.0,60.0,1,75,86,spotify:track:3tPyNRszpXjFhbJXgZIFT7,0,1,1,1,0,0,3.1413,0,0.61,0.39
749,0.769,0.479,1.0,-5.3389999999999995,1.0,0.0385,0.66,0.0,0.0914,0.8029999999999999,96.051,4.0,0.0,0,0,72,spotify:track:2Yer0p7uB2lVBUAtANuuQp,1,1,0,0,0,0,2.744,1,0.42,0.58
750,0.759,0.436,0.0,-11.232999999999999,0.0,0.0419,0.33,0.0113,0.102,0.782,94.03,4.0,81.0,0,75,80,spotify:track:4PvbbMYL4fkToni5BLaYRb,0,1,1,1,0,0,3.08845,1,0.36,0.64
751,0.384,0.765,6.0,-4.463,1.0,0.0579,0.6459999999999999,0.00352,0.522,0.5670000000000001,129.903,4.0,71.0,0,75,80,spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,0,1,0,0,0,0,4.20385,1,0.32,0.68
752,0.5589999999999999,0.43700000000000006,3.0,-10.27,1.0,0.0311,0.585,0.0,0.10099999999999999,0.43,157.991,4.0,79.0,1,73,81,spotify:track:0Vs8BRdNnyuk0QXWPWvICK,1,1,0,0,0,0,2.58355,1,0.44,0.56
753,0.665,0.38299999999999995,5.0,-8.01,1.0,0.0401,0.787,3.5100000000000006e-05,0.11800000000000001,0.22699999999999998,119.949,4.0,47.0,0,54,75,spotify:track:5Ga3CEWbxx7d5DowD2HUHD,0,1,0,0,0,0,3.2666666666666666,0,0.73,0.27
754,0.85,0.612,10.0,-4.556,0.0,0.237,0.154,0.000188,0.10800000000000001,0.5820000000000001,113.385,4.0,51.0,0,44,64,spotify:track:6cqRtlaY7Df0TuedGCxSmA,1,0,0,0,0,0,3.3028833333333334,0,0.66,0.34
755,0.5710000000000001,0.43200000000000005,5.0,-8.271,1.0,0.255,0.884,4.52e-06,0.171,0.33299999999999996,73.38,4.0,36.0,1,55,66,spotify:track:4gakzKwW9T5RlRxkpzm4Sp,1,0,0,0,0,0,2.971016666666667,0,0.59,0.41
756,0.753,0.498,2.0,-5.61,1.0,0.0504,0.551,0.0,0.0706,0.927,89.95,4.0,42.0,0,55,58.5,spotify:track:1A6OTy97kk0mMdm78rHsm8,1,0,0,0,0,0,2.6342166666666667,1,0.47,0.53
757,0.6890000000000001,0.6709999999999999,9.0,-6.702999999999999,1.0,0.0664,0.37,2.92e-06,0.10800000000000001,0.31,131.971,4.0,10.0,0,5,90,spotify:track:0a9WBrzkErYgA83deOhSzU,0,0,1,0,0,0,3.2802166666666666,1,0.36,0.64
758,0.8759999999999999,0.375,4.0,-9.341000000000001,1.0,0.259,0.478,0.0,0.106,0.325,113.90899999999999,4.0,16.0,0,17,65.5,spotify:track:7hV7333ajQNI1J6R5C9A8c,1,1,1,1,0,0,3.5408833333333334,0,0.65,0.35
759,0.716,0.7290000000000001,5.0,-6.313,1.0,0.11699999999999999,0.0991,0.0,0.0842,0.276,131.975,4.0,61.0,0,71,78,spotify:track:4ve2uzqdwnHr20G5YgMMqr,0,1,1,0,0,0,3.778216666666667,0,0.71,0.29
760,0.8390000000000001,0.583,1.0,-5.941,1.0,0.268,0.239,0.0,0.262,0.564,87.99,4.0,76.0,1,74,84,spotify:track:53dkS3h9uTNsWYZTPacnpx,0,0,1,1,0,0,10.60355,1,0.29,0.71
761,0.795,0.703,8.0,-4.629,1.0,0.355,0.0326,4.86e-06,0.364,0.9520000000000001,90.333,4.0,61.0,1,62,56,spotify:track:0whi4V5WXpH4T966M1Sb3h,0,0,1,1,0,0,3.699333333333333,1,0.41,0.59
762,0.6829999999999999,0.657,6.0,-10.668,1.0,0.099,0.0279,4.49e-05,0.36700000000000005,0.764,99.059,4.0,30.0,1,37,60,spotify:track:6ubNZ5edKBKH3MQKatUY3S,0,1,1,1,0,0,3.7157833333333334,0,0.65,0.35
763,0.69,0.635,1.0,-7.624,1.0,0.34,0.132,0.0,0.36200000000000004,0.569,144.065,4.0,56.0,0,49,64.5,spotify:track:6hp5Ytt1DmRaviuXkSTO7L,1,1,1,1,0,0,3.1491166666666666,0,0.77,0.23
764,0.731,0.858,1.0,-5.082,0.0,0.0981,0.0245,0.0,0.0852,0.732,102.02,4.0,55.0,1,74,84,spotify:track:24eP9hGnGR6RCQvllQVkCm,0,0,1,1,0,0,2.876,0,0.75,0.25
765,0.7490000000000001,0.774,9.0,-6.221,1.0,0.12,0.0857,1.1400000000000001e-05,0.11,0.35,99.01899999999999,4.0,59.0,0,85,85,spotify:track:1vYh9x8UmFTLbXiizk9Qc5,0,1,0,0,0,1,3.62555,0,0.75,0.25
766,0.49700000000000005,0.706,1.0,-6.455,1.0,0.0667,0.22699999999999998,0.0,0.22399999999999998,0.55,103.0,4.0,71.0,0,85,85,spotify:track:2yJVeT8cP1zstJxRP7Nlv8,0,1,0,0,0,1,3.58735,0,0.56,0.44
767,0.609,0.725,0.0,-6.775,1.0,0.0658,0.76,0.08800000000000001,0.341,0.7090000000000001,87.994,4.0,64.0,1,61,66,spotify:track:3fKb3ViJPMu65ySbuBdJnO,0,1,1,0,0,0,3.6666666666666665,1,0.46,0.54
768,0.72,0.585,8.0,-6.099,0.0,0.0512,0.11,0.0,0.223,0.61,114.977,4.0,39.0,0,34,46,spotify:track:2rTjKV5wbfROo0nOzO1wHq,1,1,0,0,0,0,3.70415,0,0.78,0.22
769,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,55.0,0,49,77.5,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,1,1,1,1,0,0,2.617783333333333,0,0.71,0.29
770,0.884,0.539,1.0,-6.388999999999999,0.0,0.20800000000000002,0.239,0.0,0.0805,0.7759999999999999,85.008,4.0,21.0,0,15,78,spotify:track:3f9Mzvd3URfbbIJBX4pz9Z,0,1,1,1,0,0,2.4471166666666666,0,0.51,0.49
771,0.679,0.645,6.0,-7.777,0.0,0.222,0.0518,0.0,0.145,0.203,125.795,4.0,74.0,1,68,73.5,spotify:track:0aMHIW1lqrulVCx0LLlr6a,0,1,0,0,0,1,5.1198,1,0.4,0.6
772,0.428,0.513,0.0,-6.108,1.0,0.201,0.203,0.0,0.0947,0.753,215.21900000000002,5.0,72.0,1,73,74.33333333333333,spotify:track:3aRgAfrt6aQW8IimLq2aVG,0,1,1,1,0,0,3.362,0,0.6,0.4
773,0.525,0.774,9.0,-4.532,1.0,0.24100000000000002,0.24,1.07e-06,0.495,0.526,154.192,4.0,61.0,0,79,77,spotify:track:5h0Jgt873QtgL6nJRBGfT6,0,0,0,0,0,0,3.3731833333333334,0,0.53,0.47
