,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_popularity,explicit,artists,genres,album_popularity,artist_popularity
100,0.516,0.637,6.0,-8.832,1.0,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,260440.0,4.0,65,True,"['Beyoncé', 'The Weeknd']","[['dance pop', 'pop', 'post-teen pop', 'r&b'], ['canadian contemporary r&b', 'canadian pop', 'pop']]","[80, 80]","[90, 97]"
101,0.643,0.503,7.0,-8.37,1.0,0.216,0.273,0.0,0.349,0.598,90.886,287987.0,4.0,69,False,['Beyoncé'],"[['dance pop', 'pop', 'post-teen pop', 'r&b']]",[80],[90]
102,0.455,0.535,9.0,-10.602,0.0,0.0426,0.0209,0.64,0.126,0.216,157.01,237440.0,4.0,61,False,['Beyoncé'],"[['dance pop', 'pop', 'post-teen pop', 'r&b']]",[80],[90]
103,0.33,0.357,10.0,-10.171,1.0,0.0348,0.866,1.76e-05,0.19,0.101,84.119,182720.0,3.0,62,True,['Beyoncé'],"[['dance pop', 'pop', 'post-teen pop', 'r&b']]",[80],[90]
104,0.387,0.133,7.0,-15.633,0.0,0.0474,0.947,0.0591,0.107,0.0498,124.397,79200.0,4.0,56,False,"['Beyoncé', 'James Blake']","[['dance pop', 'pop', 'post-teen pop', 'r&b'], ['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']]","[80, 80]","[90, 74]"
105,0.437,0.803,2.0,-6.412,1.0,0.305,0.0376,0.0,0.683,0.406,84.378,289760.0,4.0,65,False,"['Beyoncé', 'Kendrick Lamar']","[['dance pop', 'pop', 'post-teen pop', 'r&b'], ['conscious hip hop', 'hip hop', 'rap', 'west coast rap']]","[80, 80]","[90, 89]"
106,0.574,0.573,11.0,-7.079,1.0,0.085,0.392,2.16e-05,0.0933,0.626,136.304,322000.0,4.0,66,False,['Beyoncé'],"[['dance pop', 'pop', 'post-teen pop', 'r&b']]",[80],[90]
107,0.896,0.621,5.0,-6.857,0.0,0.237,0.00532,0.0,0.196,0.818,121.966,206080.0,4.0,76,True,['Beyoncé'],"[['dance pop', 'pop', 'post-teen pop', 'r&b']]",[80],[90]
108,0.546,0.26,1.0,-12.573,1.0,0.125,0.942,5.09e-06,0.128,0.421,155.033,204400.0,4.0,58,True,['Beyoncé'],"[['dance pop', 'pop', 'post-teen pop', 'r&b']]",[80],[90]
109,0.427,0.655,6.0,-9.348,0.0,0.202,0.0351,0.000252,0.0744,0.574,140.664,207065.0,4.0,45,False,['Charlie Burg'],"[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']]",[47],[58]
110,0.874,0.58,0.0,-5.322,1.0,0.0467,0.029,0.000155,0.0981,0.661,104.99,213232.0,4.0,41,False,['Charlie Burg'],"[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']]",[47],[58]
111,0.716,0.542,1.0,-7.66,1.0,0.0792,0.386,0.000649,0.159,0.599,108.896,155367.0,4.0,33,False,['Charlie Burg'],"[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']]",[47],[58]
112,0.571,0.494,2.0,-8.932,0.0,0.0998,0.493,0.000387,0.116,0.342,84.815,276429.0,4.0,30,False,['Charlie Burg'],"[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']]",[47],[58]
113,0.84,0.339,11.0,-9.198,0.0,0.105,0.102,2.78e-06,0.0675,0.652,109.986,208214.0,4.0,40,False,"['Charlie Burg', 'austenyo']","[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica'], []]","[47, 47]","[58, 40]"
114,0.543,0.723,1.0,-6.585,1.0,0.315,0.221,1.19e-06,0.141,0.578,81.952,124637.0,1.0,23,False,['Charlie Burg'],"[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']]",[47],[58]
115,0.701,0.443,0.0,-9.959,1.0,0.121,0.289,0.000822,0.185,0.351,86.993,180262.0,4.0,40,False,"['Charlie Burg', 'Hans.']","[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica'], []]","[47, 47]","[58, 42]"
116,0.53,0.368,7.0,-13.513,1.0,0.0684,0.848,0.000725,0.106,0.0739,113.925,170897.0,4.0,31,False,['Charlie Burg'],"[['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']]",[47],[58]
117,0.409,0.594,1.0,-9.725,1.0,0.031,0.032,0.0391,0.0904,0.212,110.187,209455.0,4.0,65,False,['Goth Babe'],"[['indie garage rock', 'indie pop', 'indie rock', 'modern rock', 'vapor soul']]",[59],[63]
118,0.442,0.18,10.0,-8.05,1.0,0.048,0.962,8.52e-06,0.112,0.233,215.669,217200.0,3.0,55,True,['Jeremih'],"[['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']]",[78],[82]
