,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_popularity,explicit,artists,genres,album_popularity,artist_popularity,like
84,0.745,0.456,8,-9.482,1,0.0874,0.44,0.0,0.072,0.124,94.032,314367,4,58,True,['PNL'],"[['french hip hop', 'pop urbaine']]",[73],[76],1
85,0.575,0.691,5,-7.595,0,0.0301,0.0377,0.563,0.0657,0.734,131.588,215973,4,0,False,['Allah-Las'],"[['freak folk', 'garage rock', 'indie garage rock', 'indie rock', 'indie surf', 'neo-psychedelic', 'noise pop']]",[0],[58],1
86,0.603,0.785,10,-7.087,0,0.295,0.41,0.0,0.111,0.47,149.884,143728,4,31,False,['Lonepsi'],"[['french hip hop', 'rap calme']]",[35],[56],1
87,0.828,0.453,4,-11.185,0,0.0503,0.505,2.04e-05,0.116,0.966,126.503,122147,4,36,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[45],[51],1
88,0.591,0.857,7,-3.487,1,0.075,0.00952,0.674,0.148,0.582,89.129,214947,4,49,False,['Nujabes'],"[['chillhop', 'downtempo', 'japanese chillhop', 'jazz rap']]",[59],[64],1
89,0.587,0.132,3,-17.782,1,0.039,0.963,0.0166,0.0882,0.437,132.245,306907,4,38,False,"['Stan Getz', 'João Gilberto', 'Antônio Carlos Jobim']","[['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz'], ['bossa nova', 'brazilian jazz', 'jazz guitar', 'mpb', 'samba', 'violao'], ['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']]","[36, 36, 36]","[68, 67, 69]",1
90,0.826,0.524,4,-5.265,0,0.0795,0.0718,0.0328,0.0816,0.332,96.019,202387,4,50,True,['Damso'],"[['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap conscient']]",[64],[75],1
91,0.696,0.789,4,-6.912,0,0.0457,0.0479,0.0008,0.712,0.809,111.215,230093,4,23,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[38],[51],1
92,0.581,0.315,5,-11.947,0,0.0781,0.389,1.68e-05,0.0766,0.185,61.381,246088,4,61,True,"['6LACK', 'Future']","[['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap'], ['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]","[76, 76]","[81, 91]",1
93,0.46,0.686,0,-5.948,0,0.0367,0.00146,0.0,0.375,0.252,148.054,145588,4,73,True,['Travis Scott'],[['rap']],[93],[98],1
94,0.654,0.393,3,-13.392,1,0.129,0.865,2.97e-06,0.123,0.533,143.801,214366,4,67,False,"['Elis Regina', 'Antônio Carlos Jobim']","[['bossa nova', 'brazilian jazz', 'forro', 'mpb', 'samba'], ['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']]","[65, 65]","[65, 69]",1
95,0.814,0.181,2,-14.246,0,0.0532,0.65,0.141,0.113,0.529,86.495,234920,4,32,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[34],[51],1
96,0.303,0.298,7,-17.399,1,0.0451,0.343,0.00275,0.0939,0.169,168.59,396667,4,36,False,['Harmonium'],"[['indie quebecois', 'prog quebec', 'symphonic rock']]",[43],[41],1
97,0.553,0.486,2,-11.839,0,0.0817,0.807,0.00749,0.111,0.732,64.283,296440,4,38,False,['Caetano Veloso'],"[['bossa nova', 'mpb', 'nova mpb', 'samba', 'samba de roda']]",[39],[71],1
98,0.489,0.516,1,-8.921,0,0.308,0.446,0.0,0.0832,0.172,149.611,95160,4,50,True,['Damso'],"[['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap conscient']]",[64],[75],1
99,0.476,0.563,9,-7.102,0,0.305,0.859,0.0,0.109,0.261,82.055,154286,4,35,True,['Lonepsi'],"[['french hip hop', 'rap calme']]",[50],[56],1
100,0.703,0.695,4,-7.766,0,0.0844,0.259,0.0,0.457,0.945,95.636,175920,4,38,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[45],[51],1
101,0.461,0.161,8,-11.145,1,0.405,0.878,0.0,0.17,0.353,88.781,132000,3,57,False,['Bon Iver'],"[['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'slow core']]",[66],[77],1
102,0.451,0.166,9,-11.125,1,0.0696,0.909,0.0,0.19,0.0901,121.123,268980,4,65,False,['Imogen Heap'],"[['etherpop', 'lilith', 'metropopolis']]",[59],[61],1
103,0.193,0.352,3,-10.821,0,0.0921,0.936,0.224,0.102,0.162,77.129,285440,1,49,False,['Bon Iver'],"[['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'slow core']]",[60],[77],1
104,0.609,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,256587,4,62,True,"['Kanye West', 'Bon Iver']","[['chicago rap', 'rap'], ['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'slow core']]","[80, 80]","[90, 77]",1
105,0.748,0.715,2,-5.137,1,0.0451,0.249,0.0369,0.164,0.226,130.087,234173,4,64,True,['BROCKHAMPTON'],"[['boy band', 'pop', 'rap']]",[81],[81],1
106,0.612,0.156,3,-15.823,1,0.0396,0.962,0.0026,0.102,0.415,131.09,304827,4,58,False,"['Stan Getz', 'João Gilberto', 'Antônio Carlos Jobim']","[['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz'], ['bossa nova', 'brazilian jazz', 'jazz guitar', 'mpb', 'samba', 'violao'], ['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']]","[66, 66, 66]","[68, 67, 69]",1
107,0.578,0.364,2,-15.162,1,0.0441,0.683,0.0539,0.105,0.723,78.073,216227,4,61,False,"['Stan Getz', 'Luiz Bonfá']","[['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz'], ['bossa nova', 'brazilian composition', 'brazilian jazz', 'jazz guitar', 'violao']]","[57, 57]","[68, 56]",1
108,0.277,0.216,0,-9.66,1,0.03,0.945,0.00116,0.325,0.362,75.258,205773,4,58,False,['Harry James'],"[['adult standards', 'big band', 'jazz trumpet', 'lounge', 'stride', 'swing', 'vocal jazz']]",[51],[55],1
109,0.564,0.162,6,-12.06,1,0.0331,0.984,0.358,0.125,0.57,62.56,201613,4,40,False,['Zoot Sims'],"[['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'stride']]",[33],[42],1
110,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,419627,4,62,False,"['Stan Getz', 'Bob Brookmeyer']","[['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz'], ['bebop', 'cool jazz', 'hard bop', 'jazz trombone']]","[57, 57]","[68, 52]",1
111,0.352,0.0351,1,-22.254,1,0.0347,0.975,0.607,0.193,0.21,56.16,323600,4,48,False,['Bobby Hutcherson'],"[['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz vibraphone', 'mallet', 'soul jazz']]",[41],[45],1
112,0.524,0.222,3,-8.967,1,0.0346,0.907,0.00124,0.0544,0.325,120.71,322000,4,54,False,['Dexter Gordon'],"[['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'stride', 'swing', 'vocal jazz']]",[48],[51],1
113,0.525,0.31,10,-17.489,1,0.0791,0.761,0.434,0.0618,0.677,156.731,371400,4,43,False,['Cymande'],"[['afrobeat', 'afropop', 'classic soul', 'electronica', 'funk', 'indie jazz', 'jazz funk', 'soul', 'world']]",[53],[56],1
114,0.328,0.49,9,-13.683,0,0.0308,0.768,0.836,0.186,0.244,155.448,440014,4,46,False,['Naxatras'],"[['greek rock', 'heavy psych', 'instrumental stoner rock', 'space rock']]",[43],[41],1
115,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904,221500,4,1,False,['Hamid Al Shaeri'],"[['arab groove', 'arab pop', 'belly dance']]",[0],[39],1
116,0.755,0.842,2,-7.293,0,0.129,0.388,0.541,0.105,0.798,123.203,516587,4,58,False,['Idris Muhammad'],"[['afrobeat', 'funk', 'jazz funk', 'new orleans funk', 'soul jazz']]",[52],[49],1
117,0.781,0.385,10,-9.976,0,0.0789,0.0101,0.587,0.166,0.842,105.812,240743,4,59,False,['Khruangbin'],"[['funk', 'indie soul', 'neo-psychedelic', 'soul']]",[62],[72],1
118,0.786,0.921,0,-6.842,1,0.101,0.0552,0.00178,0.0629,0.621,118.373,381040,4,60,False,['Steve Monite'],"[['afro-funk', 'indie soul']]",[55],[48],1
119,0.848,0.507,5,-10.094,1,0.0397,0.487,0.00464,0.0611,0.689,98.262,308440,4,51,False,['Letta Mbulu'],"[['afrobeat', 'afropop', 'world']]",[44],[43],1
120,0.588,0.59,4,-9.209,0,0.047,0.579,0.0,0.145,0.894,83.888,152733,4,41,False,['Dom Salvador & Abolição'],"[['brazilian soul', 'samba-rock']]",[36],[30],1
121,0.87,0.68,5,-8.201,0,0.055,0.0339,0.00758,0.0691,0.873,115.369,376973,4,48,False,['Oby Onyioha'],[[]],[55],[36],1
122,0.713,0.625,11,-7.283,0,0.17,0.539,0.249,0.0353,0.701,117.318,238864,4,44,False,['Steve Watson'],[[]],[39],[31],1
123,0.881,0.797,6,-6.732,0,0.0622,0.0332,0.167,0.206,0.711,123.003,262924,4,55,False,['Coeo'],"[['deep house', 'disco', 'disco house', 'indie soul', 'munich electronic', 'nu disco', 'vocal house']]",[48],[50],1
124,0.77,0.354,9,-12.028,0,0.0333,0.468,0.893,0.11,0.438,109.879,372387,4,52,False,['KOKOROKO'],"[['british jazz', 'indie jazz', 'indie soul']]",[55],[55],1
125,0.427,0.62,8,-8.639,0,0.0317,0.00326,3.76e-06,0.255,0.371,126.611,170000,4,0,False,['Al Massrieen'],[['arab groove']],[0],[33],1
126,0.748,0.745,0,-4.53,1,0.0626,0.00482,2.27e-06,0.11,0.398,105.925,181213,4,34,False,"['WizKid', 'Trey Songz']","[['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop'], ['dance pop', 'pop', 'r&b', 'trap', 'urban contemporary']]","[57, 57]","[77, 78]",1
127,0.816,0.781,1,-4.237,0,0.0425,0.692,0.00935,0.0835,0.937,99.95,185899,4,73,False,['Burna Boy'],"[['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']]",[75],[80],1
128,0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,207031,4,75,False,"['Jorja Smith', 'Burna Boy']","[['pop', 'uk contemporary r&b'], ['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']]","[68, 68]","[77, 80]",1
129,0.807,0.774,4,-4.553,0,0.235,0.206,0.000338,0.127,0.767,98.048,198367,4,60,False,['WizKid'],"[['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']]",[53],[77],1
130,0.814,0.764,0,-7.944,0,0.053,0.0794,0.0174,0.0696,0.899,125.026,224680,4,59,False,"['Wande Coal', 'DJ Tunez']","[['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop'], ['afropop', 'nigerian pop']]","[51, 51]","[56, 53]",1
131,0.841,0.644,9,-3.284,0,0.083,0.594,0.00402,0.142,0.881,108.003,255608,4,65,True,"['Starboy', 'WizKid', 'Ceeza Milli', 'Spotless', 'Terri']","[['afro dancehall', 'afropop'], ['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop'], ['nigerian pop'], [], ['nigerian pop']]","[57, 57, 57, 57, 57]","[58, 77, 52, 51, 53]",1
132,0.704,0.568,0,-4.819,0,0.413,0.424,0.0,0.13,0.424,86.895,114947,1,29,False,['Angelo King'],"[['dutch urban', 'slow game']]",[21],[48],1
133,0.525,0.51,6,-8.28,1,0.109,0.211,0.0,0.694,0.638,150.065,201539,4,55,False,['Michael Bublé'],"[['adult standards', 'canadian pop', 'lounge']]",[55],[77],1
134,0.56,0.434,4,-14.151,0,0.0729,0.55,0.0,0.346,0.664,112.803,187040,3,72,False,['Frank Sinatra'],"[['adult standards', 'easy listening', 'lounge']]",[65],[79],1
135,0.566,0.0882,10,-19.292,1,0.287,0.927,1.31e-05,0.0927,0.72,173.213,184440,4,33,False,['Fred Astaire'],"[['adult standards', 'big band', 'lounge', 'swing', 'vintage hollywood', 'vocal jazz']]",[27],[51],1
