,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_popularity,explicit,album_popularity,artist_popularity,like,r&b,pop,rap,hip hop,funk,rock,duration_min
1353,0.632,0.795,0,-4.556,0,0.23800000000000002,0.49200000000000005,0.0,0.157,0.9059999999999999,79.911,4,0,0,0,58,0,0,1,0,0,0,1,6.5193
1354,0.649,0.782,10,-7.028,0,0.0437,0.242,0.0,0.12300000000000001,0.6409999999999999,131.94799999999998,4,10,1,38,52,0,0,0,0,1,0,0,3.6295166666666665
1355,0.7759999999999999,0.675,8,-6.224,0,0.266,0.00196,0.0,0.22699999999999998,0.27,131.984,4,62,1,72,95.5,0,0,1,1,1,0,0,3.62845
1356,0.523,0.855,6,-5.7589999999999995,0,0.428,0.322,0.0,0.0713,0.33899999999999997,92.06,4,0,0,0,18,0,0,0,0,0,0,0,3.67645
1357,0.619,0.625,7,-9.635,1,0.036000000000000004,0.0119,1.05e-06,0.152,0.467,96.751,4,59,0,73,89,0,0,0,0,0,0,1,3.0217833333333335
1358,0.6559999999999999,0.698,1,-7.322,1,0.0967,0.319,2.2e-05,0.252,0.165,90.008,4,50,1,71,81,0,0,1,1,0,0,0,3.024016666666667
1359,0.489,0.718,6,-5.989,1,0.11,0.0122,0.0,0.0546,0.0568,207.986,4,68,1,77,85,0,0,1,1,1,0,0,2.116
1360,0.539,0.48700000000000004,1,-9.652999999999999,1,0.20199999999999999,0.309,0.0,0.09699999999999999,0.375,169.985,4,55,1,47,76,0,0,1,0,1,0,0,3.1058833333333333
1361,0.7979999999999999,0.535,10,-6.096,1,0.0665,0.126,0.0,0.21,0.11599999999999999,124.00399999999999,4,52,0,61,76,0,0,1,0,1,0,0,3.7002166666666665
1362,0.7120000000000001,0.9690000000000001,4,-1.5030000000000001,0,0.161,0.0113,0.0319,0.0904,0.802,105.07700000000001,4,50,0,80,85,0,0,0,0,0,1,1,2.6271166666666668
1363,0.505,0.45799999999999996,7,-7.87,1,0.0392,0.217,0.0,0.11599999999999999,0.17,123.92200000000001,4,63,1,73,81,0,1,1,0,0,0,0,5.02955
1364,0.69,0.607,5,-5.774,1,0.0327,0.16399999999999998,0.0,0.20199999999999999,0.39,105.03399999999999,4,14,1,38,52,0,0,0,0,1,0,0,4.020983333333334
1365,0.866,0.565,0,-5.856,0,0.127,0.506,0.0,0.0908,0.55,164.99099999999999,4,45,1,66,69,0,0,1,1,1,0,0,2.518666666666667
1366,0.76,0.579,0,-7.374,1,0.0569,0.0129,0.00351,0.106,0.125,100.01,4,69,0,68,82,0,0,1,1,1,0,0,3.56
1367,0.494,0.716,1,-6.479,1,0.364,0.0478,0.0,0.353,0.46799999999999997,168.894,4,41,1,65,76,0,0,1,1,1,0,0,5.875116666666667
1368,0.841,0.627,2,-6.024,1,0.0399,0.15,0.0,0.0964,0.6890000000000001,95.97399999999999,4,0,0,0,74,0,0,1,0,0,0,0,3.5122166666666668
1369,0.267,0.785,10,-9.57,1,0.0855,0.00339,0.0214,0.35600000000000004,0.18600000000000003,105.015,4,0,0,0,34,0,0,0,0,0,0,1,3.505116666666667
1370,0.44,0.97,2,-7.66,1,0.10800000000000001,9.25e-06,0.0344,0.46299999999999997,0.0501,130.079,4,1,0,0,0,0,0,0,0,0,0,0,3.3666666666666667
1371,0.7190000000000001,0.8220000000000001,10,-5.832000000000001,1,0.0436,0.0705,0.0225,0.127,0.9109999999999999,90.01799999999999,4,2,0,1,3,0,0,0,0,0,0,0,5.11215
1372,0.32,0.653,9,-9.31,1,0.046,0.818,0.914,0.145,0.0516,123.33,3,30,0,39,35,0,0,0,0,0,0,0,2.7144666666666666
